TrigReport ---------- Event  Summary ------------
TrigReport Events total = 243 passed = 192 failed = 51

TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#        Run     Passed     Failed      Error Name
TrigReport        486        243        243          0          0 patElectronsPF
TrigReport        486        243        243          0          0 badEcalRecHits
TrigReport        486        243        243          0          0 badHcalRecHits
TrigReport        486        243        243          0          0 badTowers
TrigReport        486        243        243          0          0 badMET
TrigReport        486        243        243          0          0 badPFMET
TrigReport        486        243        243          0          0 patJetsAK5CaloPt30
TrigReport        486        243        243          0          0 patJetsAK5CaloPt30ID
TrigReport        486        243        243          0          0 patJetsAK5CaloPt50Eta25
TrigReport        486        243        243          0          0 patJetsAK5CaloPt50Eta25ID
TrigReport        486        243        243          0          0 patJetsAK5PFPt30
TrigReport        486        243        243          0          0 patJetsAK5PFPt30ID
TrigReport        486        243        243          0          0 patJetsAK5PFPt50Eta25
TrigReport        486        243        243          0          0 patJetsAK5PFPt50Eta25ID
TrigReport        486        243        243          0          0 htCalo
TrigReport        486        243        243          0          0 htPF
TrigReport        486        243        243          0          0 mhtCalo
TrigReport        486        243        243          0          0 mhtPF
TrigReport        486        243        241          2          0 HBHENoiseFilter
TrigReport        482        241        241          0          0 noscraping
TrigReport        482        241        241          0          0 goodVertices
TrigReport        241        241        240          1          0 caloJetOverIDFilter
TrigReport        240        240        240          0          0 caloOverCleaningFilter
TrigReport        240        240        187         53          0 countJetsAK5CaloPt50Eta25ID
TrigReport        187        187        187          0          0 htCaloFilter
TrigReport        243        243        243          0          0 startupCounter
TrigReport        241        241        238          3          0 pfJetOverIDFilter
TrigReport        238        238        238          0          0 pfOverCleaningFilter
TrigReport        238        238        191         47          0 countJetsAK5PFPt50Eta25ID
TrigReport        191        191        191          0          0 htPFFilter
TrigReport        191        191          3        188          0 greedyMuons
TrigReport        188        188         24        164          0 inconsistentMuons
TrigReport        164        164         83         81          0 EcalAnomalousEventFilter
TrigReport         83         83         83          0          0 finalCounter
TrigReport        243        243        243          0          0 TriggerResults
TrigReport        243        243        243          0          0 out
TrigReport        243        243        243          0          0 MEtoEDMConverter

